1,Thu,September 6,Philadelphia Eagles,,Atlanta Falcons,18,12
1,Sun,September 9,Tampa Bay Buccaneers,@,New Orleans Saints,48,40
1,Sun,September 9,Minnesota Vikings,,San Francisco 49ers,24,16
1,Sun,September 9,Miami Dolphins,,Tennessee Titans,27,20
1,Sun,September 9,Baltimore Ravens,,Buffalo Bills,47,3
1,Sun,September 9,Jacksonville Jaguars,@,New York Giants,20,15
1,Sun,September 9,New England Patriots,,Houston Texans,27,20
1,Sun,September 9,Pittsburgh Steelers,@,Cleveland Browns,21,21
1,Sun,September 9,Cincinnati Bengals,@,Indianapolis Colts,34,23
1,Sun,September 9,Kansas City Chiefs,@,Los Angeles Chargers,38,28
1,Sun,September 9,Washington Redskins,@,Arizona Cardinals,24,6
1,Sun,September 9,Carolina Panthers,,Dallas Cowboys,16,8
1,Sun,September 9,Denver Broncos,,Seattle Seahawks,27,24
1,Sun,September 9,Green Bay Packers,,Chicago Bears,24,23
1,Mon,September 10,New York Jets,@,Detroit Lions,48,17
1,Mon,September 10,Los Angeles Rams,@,Oakland Raiders,33,13
