1 	Kansas City 	36.3 	37.3 	37.0 	35.8 	36.8 	25.6
2 	New Orleans 	34.9 	33.0 	45.0 	37.2 	32.5 	27.9
3 	LA Rams 	33.2 	34.3 	35.0 	34.0 	32.6 	28.9
4 	New England 	30.0 	31.3 	31.0 	35.4 	23.2 	28.9
5 	Chicago 	29.4 	32.0 	41.0 	31.8 	27.0 	16.5
6 	Indianapolis 	28.9 	37.7 	42.0 	31.3 	27.4 	16.4
7 	Tampa Bay 	28.6 	29.3 	28.0 	26.7 	29.8 	20.9
8 	Atlanta 	28.5 	31.7 	38.0 	32.2 	22.3 	21.6
9 	Pittsburgh 	28.4 	28.0 	23.0 	31.2 	25.5 	26.4
10 	Cincinnati 	27.6 	22.7 	37.0 	29.8 	25.5 	18.1
11 	Carolina 	27.5 	33.0 	42.0 	31.6 	20.7 	22.9
12 	LA Chargers 	27.5 	27.7 	25.0 	27.7 	27.4 	22.2
13 	Minnesota 	24.6 	27.0 	24.0 	20.2 	30.0 	23.2
14 	Green Bay 	24.0 	25.7 	17.0 	27.0 	21.0 	20.0
15 	Houston 	24.0 	27.0 	19.0 	25.8 	22.6 	21.1
16 	Baltimore 	23.7 	20.0 	16.0 	28.2 	20.0 	24.7
17 	Seattle 	23.5 	24.0 	17.0 	24.0 	23.2 	22.9
18 	San Francisco 	23.0 	19.7 	34.0 	23.0 	23.0 	20.7
19 	Denver 	22.8 	28.3 	17.0 	21.4 	24.5 	18.1
20 	Detroit 	22.5 	18.3 	9.0 	22.0 	23.0 	25.6
21 	Philadelphia 	22.2 	25.0 	24.0 	19.0 	25.5 	29.0
22 	NY Jets 	22.0 	11.0 	6.0 	26.2 	18.6 	18.6
23 	Cleveland 	21.1 	20.7 	21.0 	17.8 	25.2 	14.6
24 	Miami 	20.8 	19.0 	13.0 	24.0 	16.8 	17.6
25 	Washington 	20.0 	18.0 	14.0 	19.4 	21.0 	21.4
26 	Dallas 	19.2 	23.7 	14.0 	25.0 	13.5 	22.1
27 	NY Giants 	18.8 	15.3 	13.0 	14.8 	22.8 	15.4
28 	Oakland 	17.6 	11.3 	3.0 	28.7 	11.0 	18.8
29 	Tennessee 	16.8 	15.7 	28.0 	15.3 	17.6 	20.6
30 	Jacksonville 	16.8 	10.7 	18.0 	18.8 	14.8 	25.9
31 	Arizona 	13.8 	15.0 	18.0 	13.0 	15.0 	18.4
32 	Buffalo 	10.7 	6.7 	9.0 	12.0 	9.6 	17.9
