1 	Tampa Bay 	458.5 	437.3 	510.0 	462.0 	456.2 	363.4
2 	LA Rams 	448.6 	464.7 	455.0 	472.7 	419.8 	361.5
3 	Kansas City 	434.3 	458.3 	546.0 	405.8 	458.0 	372.5
4 	New Orleans 	427.1 	514.0 	546.0 	446.0 	408.2 	390.4
5 	Pittsburgh 	410.2 	391.7 	323.0 	403.6 	416.8 	387.8
6 	Atlanta 	403.4 	409.0 	354.0 	423.0 	374.0 	357.8
7 	LA Chargers 	400.8 	396.3 	479.0 	450.0 	368.0 	376.6
8 	Green Bay 	398.8 	367.7 	359.0 	408.4 	389.2 	305.7
9 	Indianapolis 	381.5 	408.0 	397.0 	399.4 	363.6 	284.6
10 	New England 	377.2 	368.0 	284.0 	441.8 	312.6 	405.4
11 	Denver 	371.9 	361.3 	325.0 	389.0 	354.8 	324.1
12 	Baltimore 	370.2 	331.0 	403.0 	346.0 	394.4 	305.4
13 	Houston 	364.2 	345.7 	320.0 	383.0 	351.7 	320.0
14 	Minnesota 	363.7 	324.7 	268.0 	350.4 	377.0 	358.1
15 	Carolina 	360.2 	345.3 	387.0 	362.6 	357.8 	328.9
16 	Chicago 	357.9 	300.0 	308.0 	385.3 	316.8 	287.4
17 	San Francisco 	356.5 	348.7 	374.0 	360.0 	353.0 	349.2
18 	Cleveland 	355.4 	350.7 	427.0 	366.3 	339.0 	308.9
19 	Philadelphia 	355.2 	337.3 	196.0 	347.6 	362.8 	377.9
20 	Seattle 	351.1 	382.7 	378.0 	350.5 	351.5 	330.4
21 	Jacksonville 	347.8 	331.0 	243.0 	343.4 	352.2 	359.8
22 	Oakland 	347.2 	294.7 	325.0 	406.0 	308.0 	324.1
23 	NY Giants 	346.2 	313.0 	359.0 	337.2 	355.2 	314.2
24 	Detroit 	343.7 	274.3 	309.0 	331.4 	356.0 	337.8
25 	Washington 	331.5 	310.0 	278.0 	326.2 	339.5 	324.9
26 	Cincinnati 	329.3 	313.7 	255.0 	333.2 	325.4 	280.5
27 	Dallas 	327.0 	343.3 	323.0 	346.8 	313.8 	331.9
28 	Miami 	313.6 	277.3 	294.0 	349.2 	278.0 	307.7
29 	NY Jets 	298.7 	227.0 	199.0 	342.0 	255.4 	305.2
30 	Tennessee 	295.4 	329.3 	263.0 	292.8 	297.2 	316.0
31 	Buffalo 	268.6 	349.3 	451.0 	278.2 	262.2 	300.3
32 	Arizona 	240.8 	287.7 	282.0 	253.8 	221.2 	314.1
