1 	Baltimore 	17.8 	18.0 	16.0 	17.0 	18.7 	18.9
2 	Dallas 	18.6 	17.3 	10.0 	17.5 	19.7 	20.8
3 	Houston 	19.6 	17.0 	13.0 	18.2 	21.0 	27.2
4 	Chicago 	20.1 	22.0 	30.0 	19.5 	20.7 	20.0
5 	Jacksonville 	20.2 	14.7 	0.0 	13.5 	27.0 	17.7
6 	Tennessee 	20.4 	31.3 	22.0 	18.6 	21.7 	22.9
7 	LA Chargers 	20.8 	21.0 	30.0 	21.6 	20.1 	17.0
8 	Washington 	21.4 	27.3 	28.0 	22.2 	20.7 	24.2
9 	Seattle 	21.6 	22.3 	16.0 	22.2 	21.1 	20.8
10 	New England 	21.6 	19.0 	10.0 	19.7 	23.5 	19.5
11 	Denver 	21.8 	16.3 	10.0 	21.5 	22.2 	23.9
12 	Philadelphia 	22.2 	27.7 	13.0 	19.1 	26.4 	18.2
13 	New Orleans 	22.4 	12.3 	13.0 	24.0 	20.8 	21.2
14 	Minnesota 	22.5 	22.0 	24.0 	19.3 	25.7 	17.4
15 	Indianapolis 	23.2 	13.3 	6.0 	22.7 	23.8 	25.2
16 	Pittsburgh 	23.5 	24.3 	33.0 	26.2 	20.8 	20.8
17 	Green Bay 	23.9 	23.7 	20.0 	19.0 	28.8 	24.0
18 	Buffalo 	24.4 	17.3 	21.0 	26.0 	23.3 	21.7
19 	LA Rams 	24.8 	32.7 	16.0 	27.2 	22.5 	20.9
20 	Miami 	25.0 	25.0 	17.0 	20.5 	29.5 	24.6
21 	Carolina 	25.5 	24.7 	24.0 	23.2 	27.8 	21.1
22 	NY Jets 	25.6 	31.3 	26.0 	29.2 	22.0 	23.9
23 	Arizona 	25.8 	28.3 	17.0 	23.8 	27.8 	22.6
24 	Cleveland 	26.0 	21.7 	29.0 	23.0 	29.0 	25.6
25 	NY Giants 	26.2 	29.0 	27.0 	28.2 	24.3 	24.2
26 	Detroit 	26.3 	24.0 	30.0 	25.9 	27.0 	23.5
27 	Kansas City 	27.2 	33.7 	33.0 	17.6 	34.1 	21.2
28 	Atlanta 	27.8 	26.3 	26.0 	28.7 	26.4 	19.1
29 	San Francisco 	28.0 	32.3 	43.0 	24.8 	30.3 	23.9
30 	Tampa Bay 	29.6 	21.3 	17.0 	19.3 	39.8 	23.9
31 	Oakland 	30.6 	31.7 	40.0 	35.4 	27.1 	23.3
32 	Cincinnati 	30.9 	27.7 	24.0 	30.3 	31.8 	21.8
