9,Thu,November 1,San Francisco 49ers,,Oakland Raiders,34,3
9,Sun,November 4,Carolina Panthers,,Tampa Bay Buccaneers,42,28
9,Sun,November 4,Pittsburgh Steelers,@,Baltimore Ravens,23,16
9,Sun,November 4,Atlanta Falcons,@,Washington Redskins,38,14
9,Sun,November 4,Minnesota Vikings,,Detroit Lions,24,9
9,Sun,November 4,Miami Dolphins,,New York Jets,13,6
9,Sun,November 4,Chicago Bears,@,Buffalo Bills,41,9
9,Sun,November 4,Kansas City Chiefs,@,Cleveland Browns,37,21
9,Sun,November 4,Los Angeles Chargers,@,Seattle Seahawks,25,17
9,Sun,November 4,Houston Texans,@,Denver Broncos,19,17
9,Sun,November 4,New Orleans Saints,,Los Angeles Rams,45,35
9,Sun,November 4,New England Patriots,,Green Bay Packers,31,17
9,Mon,November 5,Tennessee Titans,@,Dallas Cowboys,28,14
